Hours,Temp*,MC % **
0,65,3.3
0,65,3.1
0,65,3.3
0,66,3.3
0,67,3
0,67,3.2
0,65,3.3
0,67,3.1
0,67,3.2
0,68,3.3
0,66,2.9
0,66,3
0,64,3.1
0,65,2.9
0,65,3
6,69,4.3
6,69,4.2
6,69,4.2
6,68,4.3
6,68,4.2
7,69,4.5
7,68,4.6
7,68,4.5
7,68,4.6
7,69,4.4
8,68,5.2
8,69,4.9
8,69,5
8,68,5.2
8,68,5
9,68,5.3
9,68,5.6
9,68,5.2
9,68,5.3
9,68,5.1
10,68,5.3
10,68,5.6
10,68,5.2
10,68,5.3
10,68,5.1
14,69,6.8
14,67,7
14,68,6.8
14,67,6.7
14,67,6.9
15,68,7.2
15,68,7.2
15,67,7.1
15,68,7.5
15,68,7.1
16,68,6.9
16,68,6.7
16,68,7
16,68,6.8
16,68,6.8
17,70,6.9
17,68,7.2
17,67,6.9
17,68,7.3
17,67,6.9
18,69,7.4
18,69,7.1
18,68,7.2
18,67,7.4
18,68,7.3
26,69,7.8
26,68,8
26,68,7.7
26,68,7.8
26,68,7.8
27,69,8.1
27,68,8.1
27,67,8.6
27,68,8.5
27,68,8.1
28,69,8.6
28,68,8.5
28,68,8.5
28,68,8.7
28,69,8.3
29,70,8.4
29,68,8.5
29,68,8.6
29,68,8.3
29,69,8.6
30,68,9.2
30,68,9.4
30,67,9.3
30,68,9.4
30,68,9.4
31,69,9.3
31,66,9.3
31,66,9.5
31,67,9.3
31,67,9.5
0,66,3.3
0,65,3.3
0,64,3.4
0,64,3.5
0,65,3.3
0,66,3.5
0,63,3.5
0,63,3.5
0,65,3.5
0,64,3.4
0,68,2.9
0,68,2.9
0,69,2.9
0,69,3
0,69,2.9
6,68,4.4
6,67,4.7
6,67,4.5
6,68,4.4
6,67,4.3
7,69,4.5
7,69,4.6
7,69,4.5
7,68,4.8
7,68,4.6
8,67,4.8
8,67,4.6
8,68,4.6
8,68,4.7
8,68,4.8
9,68,5
9,68,5.3
9,68,5.1
9,68,4.9
9,68,5
10,68,5
10,68,5.3
10,68,5.1
10,68,4.9
10,68,5
14,68,6.7
14,68,6.6
14,68,6.7
14,68,6.4
14,67,6.6
15,69,7.3
15,69,6.8
15,68,7
15,68,6.9
15,68,7.2
16,69,6.9
16,69,6.9
16,68,6.7
16,68,7
16,67,7.2
17,68,7
17,68,7.1
17,68,7
17,68,7
17,68,7
18,68,7.1
18,68,7.1
18,68,7.2
18,67,7.1
18,67,7.2
26,68,8.7
26,67,8.8
26,67,8.4
26,67,8.8
26,67,8.4
27,69,8.8
27,68,8.3
27,68,8.6
27,68,8.4
27,67,8.7
28,68,8.8
28,68,9.2
28,69,8.9
28,69,8.9
28,69,8.9
29,69,8.8
29,68,9
29,68,8.5
29,68,8.7
29,68,8.8
30,68,8.9
30,68,9.3
30,68,8.8
30,67,8.5
30,66,8.9
31,67,9.3
31,67,9.1
31,66,9.3
31,66,9.1
31,67,9.3
0,67,3.2
0,67,3.3
0,66,3.2
0,67,3.3
0,65,3.4
0,68,3.2
0,69,3.3
0,68,3.4
0,68,3.3
0,67,3.3
0,69,2.8
0,69,2.8
0,69,2.8
0,69,2.9
0,69,2.8
6,71,4.3
6,69,4.6
6,69,4.3
6,68,4.5
6,68,4.6
7,69,4.7
7,69,4.7
7,68,4.7
7,68,4.7
7,68,4.8
8,69,4.9
8,68,5
8,68,5.1
8,67,5
8,68,5.1
9,71,5.2
9,70,5.4
9,70,5.3
9,70,5.1
9,69,5.2
10,71,5.2
10,70,5.4
10,70,5.3
10,70,5.1
10,69,5.2
14,68,6.1
14,67,6
14,66,6.4
14,67,6.3
14,67,6
15,70,6.6
15,68,6.7
15,67,6.7
15,68,6.5
15,68,6.8
16,67,6.6
16,67,6.8
16,69,6.4
16,68,6.6
16,68,6.6
17,70,7
17,69,6.9
17,69,7.1
17,69,7
17,68,7
18,70,7.4
18,70,7.1
18,69,7.4
18,69,7.3
18,69,7.2
26,77,7.8
26,77,7.8
26,69,7.7
26,68,7.7
26,68,7.9
27,70,8.1
27,68,8
27,69,8.3
27,68,8.2
27,68,8.6
28,70,8
28,69,7.9
28,69,8
28,69,8.3
28,68,8.3
29,70,8.7
29,69,8.9
29,69,9
29,69,9.7
29,68,8.6
30,69,9.8
30,68,9.4
30,67,9.6
30,68,9.6
30,68,9.3
31,67,8.5
31,68,8.7
31,67,8.7
31,67,8.7
31,67,8.8
0,66,3.1
0,63,3.4
0,63,3.3
0,66,3.3
0,67,3.2
0,68,3.3
0,68,3.3
0,68,3.3
0,68,3.3
0,68,3.3
0,70,2.9
0,70,2.8
0,70,2.9
0,70,2.8
0,70,2.9
6,69,4.2
6,69,4.3
6,69,4.5
6,69,4.4
6,68,4.4
7,69,4.9
7,69,5.1
7,69,4.8
7,69,5
7,69,4.9
8,68,4.7
8,68,4.8
8,68,5.1
8,68,4.6
8,68,5
9,69,5.3
9,69,5.1
9,69,5
9,69,5.1
9,68,5.1
10,69,5.3
10,69,5.1
10,69,5
10,69,5.1
10,68,5.1
14,68,6.6
14,67,6.7
14,67,6.9
14,67,6.7
14,68,6.4
15,68,6.6
15,67,6.6
15,67,6.8
15,68,6.7
15,68,6.6
16,68,7
16,68,6.9
16,68,7.3
16,68,7.5
16,67,7.4
17,69,7
17,69,6.9
17,68,7
17,69,6.8
17,68,7.1
18,71,7.2
18,70,7.7
18,68,7.8
18,68,7.5
18,68,7.4
26,70,8.1
26,69,8
26,69,8.3
26,69,8
26,68,8
27,68,8.3
27,68,8.6
27,68,8.6
27,69,8.5
27,68,8.5
28,68,9.4
28,69,8.9
28,69,9.3
28,69,9.2
28,69,9.2
29,67,9.1
29,68,8.7
29,67,8.8
29,68,8.7
29,67,8.6
30,68,9.6
30,67,9.5
30,68,9.3
30,67,9.4
30,68,9.5
31,68,9
31,67,8.9
31,67,9
31,68,9.1
31,67,8.9
0,71,3
0,68,3.2
0,68,3.3
0,69,3.2
0,68,3.2
0,67,3.3
0,66,3.4
0,67,3.4
0,67,3.5
0,67,3.3
0,70,2.9
0,70,2.9
0,70,2.9
0,70,2.9
0,70,3
6,69,4.4
6,69,4.5
6,70,4.3
6,69,4.4
6,68,4.5
7,70,4.5
7,69,4.5
7,69,4.6
7,69,4.5
7,68,4.6
8,70,5.3
8,69,5.4
8,69,5
8,69,4.9
8,68,5.1
9,71,5.3
9,71,5.4
9,70,5.5
9,68,5.7
9,68,5.4
10,71,5.3
10,71,5.4
10,70,5.5
10,68,5.7
10,68,5.4
14,70,5.7
14,70,6
14,70,5.9
14,70,5.6
14,69,5.8
15,69,5.9
15,67,6.1
15,68,6.1
15,68,5.9
15,68,6.2
16,67,6.3
16,68,6.2
16,67,6.3
16,68,6.2
16,68,6.2
17,71,6.7
17,70,7
17,68,7
17,67,7.1
17,67,7.3
18,66,7
18,67,6.8
18,67,6.7
18,68,6.6
18,68,6.7
26,69,8.4
26,68,8.1
26,68,8.6
26,68,8.2
26,68,8.4
27,70,8.3
27,70,8.2
27,70,8.2
27,70,8.2
27,70,8.3
28,68,8.4
28,69,8.5
28,68,8.2
28,68,8.3
28,68,8.2
29,70,8.5
29,69,8.1
29,68,8.1
29,69,8.2
29,68,8.2
30,69,8.5
30,68,8.6
30,68,8.2
30,68,8.3
30,67,8.2
31,68,8.9
31,68,8.8
31,67,9.2
31,68,8.6
31,67,8.9
0,68,3.4
0,69,3.2
0,70,3.2
0,70,3.4
0,70,3.2
0,68,3.3
0,68,3.3
0,69,3.3
0,69,3.4
0,68,3
0,68,3
0,68,3
0,67,3
0,68,3
0,67,3
6,69,4.6
6,69,4.7
6,69,5
6,69,4.5
6,69,4.5
7,70,4.8
7,68,4.8
7,67,4.9
7,69,4.8
7,68,4.9
8,69,5.2
8,67,5.2
8,69,4.8
8,69,4.9
8,68,4.9
9,68,5.3
9,69,5.2
9,68,5.4
9,68,5.2
9,68,5.4
10,68,5.3
10,69,5.2
10,68,5.4
10,68,5.2
10,68,5.4
14,70,6.5
14,69,6.3
14,68,6.4
14,68,6.7
14,68,6.6
15,69,6.3
15,69,6.2
15,68,6.4
15,69,6.4
15,69,6.3
16,68,6.7
16,68,6.8
16,68,6.9
16,68,6.8
16,68,6.7
17,70,6.5
17,68,6.5
17,67,6.6
17,68,6.6
17,69,6.6
18,67,7
18,68,6.9
18,67,7.1
18,67,6.9
18,67,6.9
26,68,8.3
26,68,8
26,69,8.1
26,69,8.1
26,69,8
27,70,8.4
27,69,8.5
27,69,8.6
27,69,8.5
27,69,8.1
28,68,8.7
28,68,8.8
28,68,8.8
28,67,8.8
28,68,8.7
29,69,9
29,68,8.6
29,69,8.8
29,68,8.8
29,68,8.7
30,68,8.7
30,67,8.4
30,67,8.9
30,67,8.9
30,67,8.5
31,69,8.8
31,67,9.3
31,67,9.2
31,66,8.7
31,67,8.7